case,optimizer,step,risk_mean,risk_std,q_eff_mean,risk_slope_loglog
flat,adam,2000,0.09550587118118221,0.0018068875600172581,0.0001284634659733719,-1.2741273979628678
flat,adam,4000,0.03983260624217283,0.002298999034962059,9.820240721811758e-05,-1.2741273979628678
flat,adam,8000,0.007504204170036296,0.0005337667402166022,7.179949874140945e-05,-1.2741273979628678
flat,adamw,250,0.43942996094415265,0.011889447135771893,7.576956103660937e-05,-1.247473371768074
flat,adamw,500,0.2920523705590989,0.014439357372910551,6.88736352446595e-05,-1.247473371768074
flat,adamw,1000,0.18825485770567862,0.004797504958026106,4.053100472278803e-05,-1.247473371768074
flat,adamw,2000,0.09795028780180699,0.00285913939910447,4.992346163787964e-05,-1.247473371768074
flat,adamw,4000,0.04224841171647824,0.0020547119893954313,8.919926457864324e-05,-1.247473371768074
flat,adamw,8000,0.008171355771805574,0.000667516032752134,4.598943187175131e-05,-1.247473371768074
flat,coord_oracle,250,0.6646638229719624,0.005906787940366203,-3.3306690738754696e-15,-0.4597495302235716
flat,coord_oracle,500,0.5221256275651498,0.003360110921704025,-3.3306690738754696e-15,-0.4597495302235716
flat,coord_oracle,1000,0.3990336597843519,0.0011168334602883307,-3.3306690738754696e-15,-0.4597495302235716
flat,coord_oracle,2000,0.2984700249099818,0.0016269481612766273,-3.3306690738754696e-15,-0.4597495302235716
flat,coord_oracle,4000,0.21408966149768777,0.002112392622247413,-3.3306690738754696e-15,-0.4597495302235716
flat,coord_oracle,8000,0.1448738270444,0.000913990349900852,-3.3306690738754696e-15,-0.4597495302235716
flat,rmsprop,250,0.35929887864597243,0.014996392049872196,7.278662568008799e-05,-1.0896235603745015
flat,rmsprop,500,0.263965611978226,0.015517754007836055,3.896621587262672e-05,-1.0896235603745015
flat,rmsprop,1000,0.17353542511980807,0.012085312457587549,6.718836876780099e-05,-1.0896235603745015
flat,rmsprop,2000,0.09573135668252994,0.006915387552684032,9.719128574072755e-05,-1.0896235603745015
flat,rmsprop,4000,0.03933536044954947,0.0015741308077284993,0.00010514938649495154,-1.0896235603745015
flat,rmsprop,8000,0.012699978322472855,0.004050788741413402,3.684051379662101e-05,-1.0896235603745015
flat,sgd,250,0.7559522926057831,0.007259019589281222,0.0,-0.43197496323664775
flat,sgd,500,0.5903726921453757,0.005145334682103593,0.0,-0.43197496323664775
flat,sgd,1000,0.4566672812446768,0.0027169347355460232,0.0,-0.43197496323664775
flat,sgd,2000,0.34451306937948944,0.0005872468412509032,0.0,-0.43197496323664775
flat,sgd,4000,0.2533305056076559,0.0009905638413125859,0.0,-0.43197496323664775
flat,sgd,8000,0.17737620458076447,0.0008413746545209474,0.0,-0.43197496323664775
flat,spectral_oracle,250,1.1468925848382725,0.01476807594987542,0.5,-0.9486258571827788
flat,spectral_oracle,500,0.7387086933466221,0.010782557007137332,0.5,-0.9486258571827788
flat,spectral_oracle,1000,0.4489570888412032,0.004287869836556915,0.5,-0.9486258571827788
flat,spectral_oracle,2000,0.254693054581925,0.001164497499235033,0.5,-0.9486258571827788
flat,spectral_oracle,4000,0.12838856430140974,0.0005093864718041181,0.5,-0.9486258571827788
flat,spectral_oracle,8000,0.05158082297136035,0.0003485652928132993,0.5,-0.9486258571827788
haar,adam,250,0.41335539815830263,0.005783561489126586,-0.020165635892499933,-1.2732026824807459
haar,adam,500,0.2753042174240566,0.004845905318291628,-0.019278733212465805,-1.2732026824807459
haar,adam,1000,0.17050016741243554,0.006557118891460449,-0.02088635062052404,-1.2732026824807459
haar,adam,2000,0.09036247518530219,0.0022448784442483907,-0.021834674523504693,-1.2732026824807459
haar,adam,4000,0.035392071974957556,0.002336401948095701,-0.02410139575333319,-1.2732026824807459
haar,adam,8000,0.007325905043703397,0.0008761842680789067,-0.027875038379739613,-1.2732026824807459
haar,adamw,250,0.41129153669667556,0.008617349484170094,-0.020911736685352088,-1.2552424765889
haar,adamw,500,0.2757855724000244,0.008144481808192551,-0.018684690846588213,-1.2552424765889
haar,adamw,1000,0.16746392005082494,0.0033732136129100087,-0.021113990090115962,-1.2552424765889
haar,adamw,2000,0.08817296971022272,0.0016926565731243213,-0.023879821915482147,-1.2552424765889
haar,adamw,4000,0.035214786562023856,0.0007420374001233846,-0.02457003880851021,-1.2552424765889
haar,adamw,8000,0.007759637843363712,0.0009388618861706254,-0.02650063938193954,-1.2552424765889
haar,coord_oracle,250,0.6468862331608578,0.011890829700441374,-0.01870192802469801,-0.4643612366846649
haar,coord_oracle,500,0.5024280656411442,0.005652616502257845,-0.01870192802469801,-0.4643612366846649
haar,coord_oracle,1000,0.3838895760323755,0.0032094925128563316,-0.01870192802469801,-0.4643612366846649
