step,excess_risk,trial,theta,lr,a,b,dimension,q_eff_pred
1000,0.27600567493749095,0,0.75,0.03,1.5,1.4,2048,0.375
2000,0.17557027164461272,0,0.75,0.03,1.5,1.4,2048,0.375
4000,0.10325186253421259,0,0.75,0.03,1.5,1.4,2048,0.375
8000,0.05325642499084285,0,0.75,0.03,1.5,1.4,2048,0.375
250,2.359089245994443,0,1.0,0.001,1.5,1.4,2048,0.5
500,1.936539728542588,0,1.0,0.001,1.5,1.4,2048,0.5
1000,1.4232524853171027,0,1.0,0.001,1.5,1.4,2048,0.5
2000,0.9486338401460276,0,1.0,0.001,1.5,1.4,2048,0.5
4000,0.6167101519024556,0,1.0,0.001,1.5,1.4,2048,0.5
8000,0.3892348603504723,0,1.0,0.001,1.5,1.4,2048,0.5
250,1.5901953872385122,0,1.0,0.003,1.5,1.4,2048,0.5
500,1.1112380072396855,0,1.0,0.003,1.5,1.4,2048,0.5
1000,0.7312224003690841,0,1.0,0.003,1.5,1.4,2048,0.5
2000,0.4672224690355355,0,1.0,0.003,1.5,1.4,2048,0.5
4000,0.2906288087855677,0,1.0,0.003,1.5,1.4,2048,0.5
8000,0.1689226099632327,0,1.0,0.003,1.5,1.4,2048,0.5
250,1.2438036723636974,0,1.0,0.005,1.5,1.4,2048,0.5
500,0.8302567897449161,0,1.0,0.005,1.5,1.4,2048,0.5
1000,0.5395834326498123,0,1.0,0.005,1.5,1.4,2048,0.5
2000,0.33529708964584065,0,1.0,0.005,1.5,1.4,2048,0.5
4000,0.1984609698822713,0,1.0,0.005,1.5,1.4,2048,0.5
8000,0.10622774987619771,0,1.0,0.005,1.5,1.4,2048,0.5
250,0.8548131717468902,0,1.0,0.01,1.5,1.4,2048,0.5
500,0.5487930317583057,0,1.0,0.01,1.5,1.4,2048,0.5
1000,0.34215013089058455,0,1.0,0.01,1.5,1.4,2048,0.5
2000,0.1994246311908524,0,1.0,0.01,1.5,1.4,2048,0.5
4000,0.10647282078381043,0,1.0,0.01,1.5,1.4,2048,0.5
8000,0.048724641384945484,0,1.0,0.01,1.5,1.4,2048,0.5
250,0.41703457939185845,0,1.0,0.03,1.5,1.4,2048,0.5
500,0.25310476146058714,0,1.0,0.03,1.5,1.4,2048,0.5
1000,0.14472747179354278,0,1.0,0.03,1.5,1.4,2048,0.5
2000,0.0715860329524227,0,1.0,0.03,1.5,1.4,2048,0.5
4000,0.02830511024530931,0,1.0,0.03,1.5,1.4,2048,0.5
8000,0.007407912970407765,0,1.0,0.03,1.5,1.4,2048,0.5
250,2.5009218887559586,1,0.0,0.001,1.5,1.4,2048,0.0
500,2.185168214608257,1,0.0,0.001,1.5,1.4,2048,0.0
1000,1.7847510050542812,1,0.0,0.001,1.5,1.4,2048,0.0
2000,1.4471071888973819,1,0.0,0.001,1.5,1.4,2048,0.0
4000,1.1817421297882245,1,0.0,0.001,1.5,1.4,2048,0.0
8000,0.9620548870128371,1,0.0,0.001,1.5,1.4,2048,0.0
250,1.935779399107613,1,0.0,0.003,1.5,1.4,2048,0.0
500,1.571977355396738,1,0.0,0.003,1.5,1.4,2048,0.0
1000,1.2833769082487052,1,0.0,0.003,1.5,1.4,2048,0.0
2000,1.0511769024187783,1,0.0,0.003,1.5,1.4,2048,0.0
4000,0.8524590976607174,1,0.0,0.003,1.5,1.4,2048,0.0
8000,0.6862896363057307,1,0.0,0.003,1.5,1.4,2048,0.0
250,1.6528160827397542,1,0.0,0.005,1.5,1.4,2048,0.0
500,1.3479029330058514,1,0.0,0.005,1.5,1.4,2048,0.0
1000,1.1042063228528038,1,0.0,0.005,1.5,1.4,2048,0.0
2000,0.892901224214033,1,0.0,0.005,1.5,1.4,2048,0.0
4000,0.7238513589335197,1,0.0,0.005,1.5,1.4,2048,0.0
8000,0.5830857485701545,1,0.0,0.005,1.5,1.4,2048,0.0
250,1.362890989390821,1,0.0,0.01,1.5,1.4,2048,0.0
500,1.1161317264320063,1,0.0,0.01,1.5,1.4,2048,0.0
1000,0.8992845599803032,1,0.0,0.01,1.5,1.4,2048,0.0
2000,0.7240460365216607,1,0.0,0.01,1.5,1.4,2048,0.0
4000,0.5823343988841568,1,0.0,0.01,1.5,1.4,2048,0.0
8000,0.4643075056364624,1,0.0,0.01,1.5,1.4,2048,0.0
250,0.9746669379616453,1,0.0,0.03,1.5,1.4,2048,0.0
500,0.7954542459096708,1,0.0,0.03,1.5,1.4,2048,0.0
1000,0.63798368416321,1,0.0,0.03,1.5,1.4,2048,0.0
2000,0.5124545894955117,1,0.0,0.03,1.5,1.4,2048,0.0
4000,0.4051808769051347,1,0.0,0.03,1.5,1.4,2048,0.0
8000,0.3165835457998719,1,0.0,0.03,1.5,1.4,2048,0.0
250,2.4537110290189337,1,0.25,0.001,1.5,1.4,2048,0.125
500,2.114821671864793,1,0.25,0.001,1.5,1.4,2048,0.125
1000,1.7041469909754638,1,0.25,0.001,1.5,1.4,2048,0.125
2000,1.352370324828336,1,0.25,0.001,1.5,1.4,2048,0.125
4000,1.069656096451014,1,0.25,0.001,1.5,1.4,2048,0.125
8000,0.8438185087623655,1,0.25,0.001,1.5,1.4,2048,0.125
250,1.885587582835977,1,0.25,0.003,1.5,1.4,2048,0.125
500,1.5031791429181398,1,0.25,0.003,1.5,1.4,2048,0.125
1000,1.1720776011708824,1,0.25,0.003,1.5,1.4,2048,0.125
2000,0.9258040136312294,1,0.25,0.003,1.5,1.4,2048,0.125
4000,0.7312155170925033,1,0.25,0.003,1.5,1.4,2048,0.125
8000,0.5710645672230801,1,0.25,0.003,1.5,1.4,2048,0.125
250,1.5903453573849635,1,0.25,0.005,1.5,1.4,2048,0.125
500,1.2475317097621008,1,0.25,0.005,1.5,1.4,2048,0.125
1000,0.9955950989718005,1,0.25,0.005,1.5,1.4,2048,0.125
2000,0.7810628757197449,1,0.25,0.005,1.5,1.4,2048,0.125
4000,0.6117470114921028,1,0.25,0.005,1.5,1.4,2048,0.125
8000,0.47175087301211777,1,0.25,0.005,1.5,1.4,2048,0.125
250,1.276242065907268,1,0.25,0.01,1.5,1.4,2048,0.125
500,1.0017406892212388,1,0.25,0.01,1.5,1.4,2048,0.125
1000,0.7901470724687938,1,0.25,0.01,1.5,1.4,2048,0.125
2000,0.6099335867665586,1,0.25,0.01,1.5,1.4,2048,0.125
4000,0.4715278253936251,1,0.25,0.01,1.5,1.4,2048,0.125
8000,0.35859703610936255,1,0.25,0.01,1.5,1.4,2048,0.125
250,0.8628772501380313,1,0.25,0.03,1.5,1.4,2048,0.125
500,0.677354654775787,1,0.25,0.03,1.5,1.4,2048,0.125
1000,0.5176422142130505,1,0.25,0.03,1.5,1.4,2048,0.125
2000,0.40387265178948384,1,0.25,0.03,1.5,1.4,2048,0.125
4000,0.30565791913825496,1,0.25,0.03,1.5,1.4,2048,0.125
8000,0.22471448730581373,1,0.25,0.03,1.5,1.4,2048,0.125
250,2.4457967599893133,1,0.5,0.001,1.5,1.4,2048,0.25
500,2.0946428240554424,1,0.5,0.001,1.5,1.4,2048,0.25
1000,1.6409641629315428,1,0.5,0.001,1.5,1.4,2048,0.25
2000,1.2473398990720286,1,0.5,0.001,1.5,1.4,2048,0.25
4000,0.9469511647312064,1,0.5,0.001,1.5,1.4,2048,0.25
8000,0.7136786865413013,1,0.5,0.001,1.5,1.4,2048,0.25
250,1.8402943220159294,1,0.5,0.003,1.5,1.4,2048,0.25
500,1.4049639623961125,1,0.5,0.003,1.5,1.4,2048,0.25
1000,1.061709703899217,1,0.5,0.003,1.5,1.4,2048,0.25
2000,0.8038317945682517,1,0.5,0.003,1.5,1.4,2048,0.25
4000,0.5994968492716051,1,0.5,0.003,1.5,1.4,2048,0.25
8000,0.44306862003699266,1,0.5,0.003,1.5,1.4,2048,0.25
250,1.4562817239295682,1,0.5,0.005,1.5,1.4,2048,0.25
500,1.1300544619059536,1,0.5,0.005,1.5,1.4,2048,0.25
1000,0.8627610390758227,1,0.5,0.005,1.5,1.4,2048,0.25
2000,0.6512186674516769,1,0.5,0.005,1.5,1.4,2048,0.25
4000,0.48220193460270544,1,0.5,0.005,1.5,1.4,2048,0.25
8000,0.3505459223879179,1,0.5,0.005,1.5,1.4,2048,0.25
250,1.149087193117895,1,0.5,0.01,1.5,1.4,2048,0.25
500,0.8722098776713595,1,0.5,0.01,1.5,1.4,2048,0.25
1000,0.6440198670375872,1,0.5,0.01,1.5,1.4,2048,0.25
2000,0.48317178751636347,1,0.5,0.01,1.5,1.4,2048,0.25
4000,0.3517683734785105,1,0.5,0.01,1.5,1.4,2048,0.25
8000,0.24876789652747858,1,0.5,0.01,1.5,1.4,2048,0.25
250,0.7297854925579476,1,0.5,0.03,1.5,1.4,2048,0.25
500,0.5407694295560576,1,0.5,0.03,1.5,1.4,2048,0.25
1000,0.3973115557450072,1,0.5,0.03,1.5,1.4,2048,0.25
2000,0.286838449225495,1,0.5,0.03,1.5,1.4,2048,0.25
4000,0.20096861007803754,1,0.5,0.03,1.5,1.4,2048,0.25
8000,0.13254692399761148,1,0.5,0.03,1.5,1.4,2048,0.25
250,2.413760360468241,1,0.75,0.001,1.5,1.4,2048,0.375
500,2.0139837024741536,1,0.75,0.001,1.5,1.4,2048,0.375
1000,1.543020815009128,1,0.75,0.001,1.5,1.4,2048,0.375
2000,1.1050496986249119,1,0.75,0.001,1.5,1.4,2048,0.375
4000,0.7900713972202622,1,0.75,0.001,1.5,1.4,2048,0.375
8000,0.5611849680088955,1,0.75,0.001,1.5,1.4,2048,0.375
250,1.7128142977916547,1,0.75,0.003,1.5,1.4,2048,0.375
500,1.270934791899422,1,0.75,0.003,1.5,1.4,2048,0.375
1000,0.913972239838472,1,0.75,0.003,1.5,1.4,2048,0.375
2000,0.6488526058863056,1,0.75,0.003,1.5,1.4,2048,0.375
4000,0.4552947268136673,1,0.75,0.003,1.5,1.4,2048,0.375
8000,0.3080175544892777,1,0.75,0.003,1.5,1.4,2048,0.375
250,1.4069113186609497,1,0.75,0.005,1.5,1.4,2048,0.375
500,1.0211874601678148,1,0.75,0.005,1.5,1.4,2048,0.375
1000,0.7163207975927552,1,0.75,0.005,1.5,1.4,2048,0.375
2000,0.4979502450166668,1,0.75,0.005,1.5,1.4,2048,0.375
4000,0.3419458706511438,1,0.75,0.005,1.5,1.4,2048,0.375
8000,0.22590984889884097,1,0.75,0.005,1.5,1.4,2048,0.375
250,0.9888502574509365,1,0.75,0.01,1.5,1.4,2048,0.375
500,0.7139970542063215,1,0.75,0.01,1.5,1.4,2048,0.375
1000,0.5022283432809445,1,0.75,0.01,1.5,1.4,2048,0.375
2000,0.3447402271501239,1,0.75,0.01,1.5,1.4,2048,0.375
4000,0.22592368525762674,1,0.75,0.01,1.5,1.4,2048,0.375
8000,0.14047725090378688,1,0.75,0.01,1.5,1.4,2048,0.375
250,0.5897162010807252,1,0.75,0.03,1.5,1.4,2048,0.375
500,0.4017960993168727,1,0.75,0.03,1.5,1.4,2048,0.375
1000,0.2698759393815035,1,0.75,0.03,1.5,1.4,2048,0.375
2000,0.17378526534276265,1,0.75,0.03,1.5,1.4,2048,0.375
4000,0.10294204923701494,1,0.75,0.03,1.5,1.4,2048,0.375
8000,0.05322953107612664,1,0.75,0.03,1.5,1.4,2048,0.375
250,2.3379650525357647,1,1.0,0.001,1.5,1.4,2048,0.5
500,1.9218867895225713,1,1.0,0.001,1.5,1.4,2048,0.5
1000,1.4093074908195218,1,1.0,0.001,1.5,1.4,2048,0.5
2000,0.9501228066773492,1,1.0,0.001,1.5,1.4,2048,0.5
4000,0.619220250520955,1,1.0,0.001,1.5,1.4,2048,0.5
8000,0.3911929748123315,1,1.0,0.001,1.5,1.4,2048,0.5
250,1.5970765313053275,1,1.0,0.003,1.5,1.4,2048,0.5
500,1.120266032701689,1,1.0,0.003,1.5,1.4,2048,0.5
1000,0.7396137341168969,1,1.0,0.003,1.5,1.4,2048,0.5
2000,0.47795216777650595,1,1.0,0.003,1.5,1.4,2048,0.5
4000,0.294499890103871,1,1.0,0.003,1.5,1.4,2048,0.5
8000,0.17063210239663704,1,1.0,0.003,1.5,1.4,2048,0.5
250,1.235310109600527,1,1.0,0.005,1.5,1.4,2048,0.5
500,0.808698974713452,1,1.0,0.005,1.5,1.4,2048,0.5
1000,0.5262919751643745,1,1.0,0.005,1.5,1.4,2048,0.5
2000,0.33335002677240183,1,1.0,0.005,1.5,1.4,2048,0.5
4000,0.19622628426914765,1,1.0,0.005,1.5,1.4,2048,0.5
8000,0.10616457661014325,1,1.0,0.005,1.5,1.4,2048,0.5
250,0.834442900787123,1,1.0,0.01,1.5,1.4,2048,0.5
500,0.5315969292631891,1,1.0,0.01,1.5,1.4,2048,0.5
1000,0.3312621427533191,1,1.0,0.01,1.5,1.4,2048,0.5
2000,0.19591332959061863,1,1.0,0.01,1.5,1.4,2048,0.5
4000,0.10681331463597378,1,1.0,0.01,1.5,1.4,2048,0.5
8000,0.04884047794699274,1,1.0,0.01,1.5,1.4,2048,0.5
250,0.4195881652182922,1,1.0,0.03,1.5,1.4,2048,0.5
500,0.25467526718202593,1,1.0,0.03,1.5,1.4,2048,0.5
1000,0.1444933163609176,1,1.0,0.03,1.5,1.4,2048,0.5
2000,0.07346402533712704,1,1.0,0.03,1.5,1.4,2048,0.5
4000,0.028847285863336708,1,1.0,0.03,1.5,1.4,2048,0.5
8000,0.007510632169422191,1,1.0,0.03,1.5,1.4,2048,0.5
250,2.4918223036271514,2,0.0,0.001,1.5,1.4,2048,0.0
500,2.1588270033794292,2,0.0,0.001,1.5,1.4,2048,0.0
1000,1.778608875454082,2,0.0,0.001,1.5,1.4,2048,0.0
2000,1.434974900968018,2,0.0,0.001,1.5,1.4,2048,0.0
4000,1.1771706590695101,2,0.0,0.001,1.5,1.4,2048,0.0
8000,0.9609058395309822,2,0.0,0.001,1.5,1.4,2048,0.0
250,1.9195707936808233,2,0.0,0.003,1.5,1.4,2048,0.0
500,1.5769702198455982,2,0.0,0.003,1.5,1.4,2048,0.0
1000,1.2904995934601369,2,0.0,0.003,1.5,1.4,2048,0.0
2000,1.0488631406562012,2,0.0,0.003,1.5,1.4,2048,0.0
4000,0.850849195739679,2,0.0,0.003,1.5,1.4,2048,0.0
8000,0.685837095245851,2,0.0,0.003,1.5,1.4,2048,0.0
250,1.6499010411199442,2,0.0,0.005,1.5,1.4,2048,0.0
500,1.3483987491018874,2,0.0,0.005,1.5,1.4,2048,0.0
1000,1.1066640283149662,2,0.0,0.005,1.5,1.4,2048,0.0
2000,0.8980856322407409,2,0.0,0.005,1.5,1.4,2048,0.0
4000,0.7239364130679209,2,0.0,0.005,1.5,1.4,2048,0.0
8000,0.5817108230942649,2,0.0,0.005,1.5,1.4,2048,0.0
250,1.3309496802468437,2,0.0,0.01,1.5,1.4,2048,0.0
500,1.098443788618969,2,0.0,0.01,1.5,1.4,2048,0.0
1000,0.8965227276398731,2,0.0,0.01,1.5,1.4,2048,0.0
2000,0.7269103137992766,2,0.0,0.01,1.5,1.4,2048,0.0
4000,0.581704424746411,2,0.0,0.01,1.5,1.4,2048,0.0
8000,0.46429386935187883,2,0.0,0.01,1.5,1.4,2048,0.0
250,0.9704687140691761,2,0.0,0.03,1.5,1.4,2048,0.0
500,0.793177588998411,2,0.0,0.03,1.5,1.4,2048,0.0
1000,0.6428587250298791,2,0.0,0.03,1.5,1.4,2048,0.0
2000,0.5132856431610915,2,0.0,0.03,1.5,1.4,2048,0.0
4000,0.4064335883571989,2,0.0,0.03,1.5,1.4,2048,0.0
8000,0.3173071515032254,2,0.0,0.03,1.5,1.4,2048,0.0
250,2.4553452613394873,2,0.25,0.001,1.5,1.4,2048,0.125
500,2.0990767492792153,2,0.25,0.001,1.5,1.4,2048,0.125
1000,1.7034753856727265,2,0.25,0.001,1.5,1.4,2048,0.125
2000,1.3445369770996758,2,0.25,0.001,1.5,1.4,2048,0.125
4000,1.070045309014955,2,0.25,0.001,1.5,1.4,2048,0.125
8000,0.8437743554670867,2,0.25,0.001,1.5,1.4,2048,0.125
250,1.84392694985597,2,0.25,0.003,1.5,1.4,2048,0.125
500,1.4717559630254984,2,0.25,0.003,1.5,1.4,2048,0.125
1000,1.1769455155365265,2,0.25,0.003,1.5,1.4,2048,0.125
2000,0.9312961776644998,2,0.25,0.003,1.5,1.4,2048,0.125
4000,0.7321724315799436,2,0.25,0.003,1.5,1.4,2048,0.125
8000,0.570324542846052,2,0.25,0.003,1.5,1.4,2048,0.125
250,1.582278182671301,2,0.25,0.005,1.5,1.4,2048,0.125
500,1.2548618161993292,2,0.25,0.005,1.5,1.4,2048,0.125
1000,0.9865914031741374,2,0.25,0.005,1.5,1.4,2048,0.125
2000,0.7801033405694955,2,0.25,0.005,1.5,1.4,2048,0.125
4000,0.6092105835216572,2,0.25,0.005,1.5,1.4,2048,0.125
8000,0.47127187134945386,2,0.25,0.005,1.5,1.4,2048,0.125
250,1.2686273969838566,2,0.25,0.01,1.5,1.4,2048,0.125
500,0.9965406837311485,2,0.25,0.01,1.5,1.4,2048,0.125
1000,0.7784532595166183,2,0.25,0.01,1.5,1.4,2048,0.125
2000,0.6096016444059587,2,0.25,0.01,1.5,1.4,2048,0.125
4000,0.47013295116650766,2,0.25,0.01,1.5,1.4,2048,0.125
8000,0.35921145224235074,2,0.25,0.01,1.5,1.4,2048,0.125
250,0.8688819700627841,2,0.25,0.03,1.5,1.4,2048,0.125
500,0.6802300106704469,2,0.25,0.03,1.5,1.4,2048,0.125
1000,0.5289318011980297,2,0.25,0.03,1.5,1.4,2048,0.125
2000,0.40248468114162517,2,0.25,0.03,1.5,1.4,2048,0.125
4000,0.3043889341951276,2,0.25,0.03,1.5,1.4,2048,0.125
8000,0.2241153833354786,2,0.25,0.03,1.5,1.4,2048,0.125
250,2.4427375863323966,2,0.5,0.001,1.5,1.4,2048,0.25
500,2.087645479135058,2,0.5,0.001,1.5,1.4,2048,0.25
1000,1.645186303090543,2,0.5,0.001,1.5,1.4,2048,0.25
2000,1.2420586396276159,2,0.5,0.001,1.5,1.4,2048,0.25
4000,0.9444007659565624,2,0.5,0.001,1.5,1.4,2048,0.25
8000,0.7119901310158405,2,0.5,0.001,1.5,1.4,2048,0.25
250,1.8037257517010787,2,0.5,0.003,1.5,1.4,2048,0.25
500,1.3822070657383738,2,0.5,0.003,1.5,1.4,2048,0.25
1000,1.0609462876846163,2,0.5,0.003,1.5,1.4,2048,0.25
2000,0.8023154407827444,2,0.5,0.003,1.5,1.4,2048,0.25
4000,0.6010359924184968,2,0.5,0.003,1.5,1.4,2048,0.25
8000,0.4453851919562485,2,0.5,0.003,1.5,1.4,2048,0.25
250,1.5146352193361974,2,0.5,0.005,1.5,1.4,2048,0.25
500,1.1320212352805081,2,0.5,0.005,1.5,1.4,2048,0.25
1000,0.8657173127633466,2,0.5,0.005,1.5,1.4,2048,0.25
2000,0.6501341715113865,2,0.5,0.005,1.5,1.4,2048,0.25
4000,0.4850113179667115,2,0.5,0.005,1.5,1.4,2048,0.25
8000,0.35176496644399513,2,0.5,0.005,1.5,1.4,2048,0.25
250,1.1614220627057457,2,0.5,0.01,1.5,1.4,2048,0.25
500,0.8701760411347992,2,0.5,0.01,1.5,1.4,2048,0.25
1000,0.6493779364123924,2,0.5,0.01,1.5,1.4,2048,0.25
