C,M_opt,N_opt,K_opt,n_eff_opt,gamma_eff_opt,risk_opt,K_time_cap,K_wd_cap,a,b,theta,q_eff,alpha,weight_decay,phase
170125.42798525892,170.95373475765592,995.1547898408232,13.869269150203808,995.1547898408228,0.9999999999999996,0.49111422391933435,13.869269150203808,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
242446.20170823307,242.61337143614705,999.3109624299583,13.891306871860188,999.310962429958,0.9999999999999997,0.47414493783318323,13.891306871860188,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
345510.7294592218,348.81995031891535,990.5130974972388,13.844589550794622,990.5130974972384,0.9999999999999996,0.4596622689423123,13.844589550794622,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
492388.26317067415,488.58769278142114,1007.778686293994,13.894954943731374,999.9999999999995,0.9922813546269769,0.4468409921566031,13.93603126704607,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
701703.8286703837,705.7673574572877,994.2423962457771,13.864423644072629,994.2423962457767,0.9999999999999997,0.4358103922666714,13.864423644072629,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
1000000.0,989.6786625907839,1010.4289784142632,13.894954943731374,999.9999999999995,0.9896786625907834,0.4261351534378493,13.949981620894834,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
1425102.6703029992,1400.9939480957757,1017.2082986082787,13.894954943731374,999.9999999999995,0.9830828173228402,0.41782014034561943,13.985563190400628,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
2030917.620904739,2002.1090310411287,1014.3891213799827,13.894954943731374,999.9999999999995,0.9858149884726601,0.4105208128380463,13.970784495284828,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
2894266.1247167517,2888.341918046613,1002.0510752667901,13.894954943731374,999.9999999999995,0.9979531230319328,0.40417208428252155,13.905805048592415,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
4124626.382901348,4110.36089810216,1003.4706161217559,13.894954943731374,999.9999999999995,0.9965413873949097,0.39871898954111157,13.913306314139746,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
5878016.072274912,5364.434340171338,1095.738282833968,13.894954943731374,999.9999999999995,0.9126266880204684,0.3939312091338365,14.387441020039898,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
8376776.400682924,7026.012892206873,1192.2517833655406,13.894954943731374,999.9999999999995,0.8387490075101047,0.3896077352963906,14.857635748908324,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
11937766.417144358,9007.940864122877,1325.2491992582331,13.894954943731374,999.9999999999995,0.7545750644933181,0.3857011362475289,15.468446012613459,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
17012542.798525892,11576.291757854504,1469.602110449825,13.894954943731374,999.9999999999995,0.6804562901001233,0.38217078761629003,16.089860997310044,13.894954943731374,3.0,1.4,0.25,0.125,2.625,0.001,hard_source_time_limited
